name,sites,lnL,parameters,subsets,aic,aicc,bic
start_scheme,8036,-28678.99,172,14,57701.99,57709.56,58904.56
step_1,8036,-28676.77,162,13,57677.53,57684.24,58810.19
step_2,8036,-28682.68,151,12,57667.35,57673.17,58723.10
step_3,8036,-28686.14,141,11,57654.28,57659.35,58640.11
step_4,8036,-28689.94,131,10,57641.87,57646.25,58557.78
step_5,8036,-28693.77,121,9,57629.54,57633.27,58475.54
step_6,8036,-28704.00,110,8,57627.99,57631.07,58397.08
step_7,8036,-28715.15,100,7,57630.29,57632.84,58329.46
step_8,8036,-28731.38,90,6,57642.75,57644.82,58272.01
step_9,8036,-28759.01,80,5,57678.01,57679.64,58237.35
step_10,8036,-28800.15,69,4,57738.30,57739.51,58220.73
