INFO     | 2019-07-01 08:04:36,735 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2019-07-01 08:04:36,740 | config     | Setting 'alignment' to 'bears_phylo.phy'
INFO     | 2019-07-01 08:04:36,740 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2019-07-01 08:04:36,741 | parser     | You set 'models' to: all
INFO     | 2019-07-01 08:04:36,758 | model_load | This analysis will use the following 3 models of molecular evolution
INFO     | 2019-07-01 08:04:36,758 | model_load | GTR, GTR+G, GTR+I+G
INFO     | 2019-07-01 08:04:36,758 | config     | Setting 'model_selection' to 'bic'
INFO     | 2019-07-01 08:04:36,769 | config     | Setting 'search' to 'rcluster'
INFO     | 2019-07-01 08:04:36,770 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2019-07-01 08:04:36,770 | config     | Looking for alignment file './bears_phylo.phy'...
INFO     | 2019-07-01 08:04:36,770 | threadpool | Using 2 cpus
INFO     | 2019-07-01 08:04:36,770 | analysis   | Beginning Analysis
INFO     | 2019-07-01 08:04:36,797 | alignment  | Reading alignment file './bears_phylo.phy'
INFO     | 2019-07-01 08:04:36,805 | analysis   | Starting tree will be estimated from the data.
INFO     | 2019-07-01 08:04:36,807 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2019-07-01 08:04:36,808 | raxml      | Using a separate GTR+G model for each data block
INFO     | 2019-07-01 08:04:40,960 | raxml      | Estimating GTR+G branch lengths on ML tree using all partitions
INFO     | 2019-07-01 08:04:45,367 | raxml      | ML topology estimation finished
INFO     | 2019-07-01 08:04:45,369 | analysis_m | Performing relaxed clustering analysis
INFO     | 2019-07-01 08:04:45,370 | analysis_m |    Set rcluster-max to 1000
INFO     | 2019-07-01 08:04:45,370 | analysis_m |    PartitionFinder will have to analyse 183 subsets to complete this analyses
INFO     | 2019-07-01 08:04:45,371 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2019-07-01 08:04:46,461 | progress   |       Finished subset 1/14, 7.14 percent done
INFO     | 2019-07-01 08:04:47,378 | progress   |       Finished subset 2/14, 14.29 percent done
INFO     | 2019-07-01 08:04:48,307 | progress   |       Finished subset 3/14, 21.43 percent done
INFO     | 2019-07-01 08:04:48,557 | progress   |       Finished subset 4/14, 28.57 percent done
INFO     | 2019-07-01 08:04:49,083 | progress   |       Finished subset 5/14, 35.71 percent done
INFO     | 2019-07-01 08:04:49,550 | progress   |       Finished subset 6/14, 42.86 percent done
INFO     | 2019-07-01 08:04:49,793 | progress   |       Finished subset 7/14, 50.00 percent done
INFO     | 2019-07-01 08:04:50,023 | progress   |       Finished subset 8/14, 57.14 percent done
INFO     | 2019-07-01 08:04:50,388 | progress   |       Finished subset 9/14, 64.29 percent done
INFO     | 2019-07-01 08:04:51,142 | progress   |       Finished subset 10/14, 71.43 percent done
INFO     | 2019-07-01 08:04:51,214 | progress   |       Finished subset 11/14, 78.57 percent done
INFO     | 2019-07-01 08:04:51,461 | progress   |       Finished subset 12/14, 85.71 percent done
INFO     | 2019-07-01 08:04:52,197 | progress   |       Finished subset 13/14, 92.86 percent done
INFO     | 2019-07-01 08:04:52,875 | progress   |       Finished subset 14/14, 100.00 percent done
INFO     | 2019-07-01 08:04:52,877 | analysis_m |    *** Relaxed clustering algorithm step 1 of up to 13 ***
INFO     | 2019-07-01 08:04:52,877 | analysis_m |       Measuring the similarity of 91 subset pairs
INFO     | 2019-07-01 08:04:52,878 | analysis_m |       Choosing the 10 most similar subset pairs
INFO     | 2019-07-01 08:04:52,878 | analysis_m |       Analysing 10 new subset pairs
INFO     | 2019-07-01 08:04:54,751 | progress   |       Finished subset 1/10, 10.00 percent done
INFO     | 2019-07-01 08:04:55,094 | progress   |       Finished subset 2/10, 20.00 percent done
INFO     | 2019-07-01 08:04:56,177 | progress   |       Finished subset 3/10, 30.00 percent done
INFO     | 2019-07-01 08:04:57,246 | progress   |       Finished subset 4/10, 40.00 percent done
INFO     | 2019-07-01 08:04:58,333 | progress   |       Finished subset 5/10, 50.00 percent done
INFO     | 2019-07-01 08:04:58,651 | progress   |       Finished subset 6/10, 60.00 percent done
INFO     | 2019-07-01 08:04:59,099 | progress   |       Finished subset 7/10, 70.00 percent done
INFO     | 2019-07-01 08:04:59,394 | progress   |       Finished subset 8/10, 80.00 percent done
INFO     | 2019-07-01 08:04:59,520 | progress   |       Finished subset 9/10, 90.00 percent done
INFO     | 2019-07-01 08:05:00,136 | progress   |       Finished subset 10/10, 100.00 percent done
INFO     | 2019-07-01 08:05:00,137 | analysis_m |       Finding the best partitioning scheme
INFO     | 2019-07-01 08:05:00,168 | analysis_m |       Combining subsets: 'cytb_1' and 'nad1_1'
INFO     | 2019-07-01 08:05:00,169 | analysis_m |       The best scheme has 13 subsets and improves the bic score by 82.99 to 58821.6
INFO     | 2019-07-01 08:05:00,171 | analysis_m |    *** Relaxed clustering algorithm step 2 of up to 13 ***
INFO     | 2019-07-01 08:05:00,171 | analysis_m |       Measuring the similarity of 78 subset pairs
INFO     | 2019-07-01 08:05:00,171 | analysis_m |       Choosing the 8 most similar subset pairs
INFO     | 2019-07-01 08:05:00,172 | analysis_m |       Analysing 3 new subset pairs
INFO     | 2019-07-01 08:05:01,581 | progress   |       Finished subset 1/3, 33.33 percent done
INFO     | 2019-07-01 08:05:02,458 | progress   |       Finished subset 2/3, 66.67 percent done
INFO     | 2019-07-01 08:05:02,672 | progress   |       Finished subset 3/3, 100.00 percent done
INFO     | 2019-07-01 08:05:02,673 | analysis_m |       Finding the best partitioning scheme
INFO     | 2019-07-01 08:05:02,681 | analysis_m |       Combining subsets: 'cytb_2' and 'cox1_2'
INFO     | 2019-07-01 08:05:02,682 | analysis_m |       The best scheme has 12 subsets and improves the bic score by 82.32 to 58739.2
INFO     | 2019-07-01 08:05:02,683 | analysis_m |    *** Relaxed clustering algorithm step 3 of up to 13 ***
INFO     | 2019-07-01 08:05:02,683 | analysis_m |       Measuring the similarity of 66 subset pairs
INFO     | 2019-07-01 08:05:02,683 | analysis_m |       Choosing the 7 most similar subset pairs
INFO     | 2019-07-01 08:05:02,684 | analysis_m |       Analysing 2 new subset pairs
INFO     | 2019-07-01 08:05:02,962 | progress   |       Finished subset 1/2, 50.00 percent done
INFO     | 2019-07-01 08:05:03,928 | progress   |       Finished subset 2/2, 100.00 percent done
INFO     | 2019-07-01 08:05:03,928 | analysis_m |       Finding the best partitioning scheme
INFO     | 2019-07-01 08:05:03,935 | analysis_m |       Combining subsets: '16s' and '12s'
INFO     | 2019-07-01 08:05:03,936 | analysis_m |       The best scheme has 11 subsets and improves the bic score by 82.25 to 58657.0
INFO     | 2019-07-01 08:05:03,937 | analysis_m |    *** Relaxed clustering algorithm step 4 of up to 13 ***
INFO     | 2019-07-01 08:05:03,937 | analysis_m |       Measuring the similarity of 55 subset pairs
INFO     | 2019-07-01 08:05:03,938 | analysis_m |       Choosing the 6 most similar subset pairs
INFO     | 2019-07-01 08:05:03,938 | analysis_m |       Analysing 2 new subset pairs
INFO     | 2019-07-01 08:05:05,706 | progress   |       Finished subset 1/2, 50.00 percent done
INFO     | 2019-07-01 08:05:06,560 | progress   |       Finished subset 2/2, 100.00 percent done
INFO     | 2019-07-01 08:05:06,561 | analysis_m |       Finding the best partitioning scheme
INFO     | 2019-07-01 08:05:06,567 | analysis_m |       Combining subsets: 'cytb_3' and 'nad1_3'
INFO     | 2019-07-01 08:05:06,568 | analysis_m |       The best scheme has 10 subsets and improves the bic score by 84.99 to 58572.0
INFO     | 2019-07-01 08:05:06,569 | analysis_m |    *** Relaxed clustering algorithm step 5 of up to 13 ***
INFO     | 2019-07-01 08:05:06,569 | analysis_m |       Measuring the similarity of 45 subset pairs
INFO     | 2019-07-01 08:05:06,569 | analysis_m |       Choosing the 5 most similar subset pairs
INFO     | 2019-07-01 08:05:06,575 | analysis_m |       Combining subsets: 'nad1_2' and 'cytb_2, cox1_2'
INFO     | 2019-07-01 08:05:06,577 | analysis_m |       The best scheme has 9 subsets and improves the bic score by 78.46 to 58493.6
INFO     | 2019-07-01 08:05:06,578 | analysis_m |    *** Relaxed clustering algorithm step 6 of up to 13 ***
INFO     | 2019-07-01 08:05:06,579 | analysis_m |       Measuring the similarity of 36 subset pairs
INFO     | 2019-07-01 08:05:06,579 | analysis_m |       Choosing the 4 most similar subset pairs
INFO     | 2019-07-01 08:05:06,580 | analysis_m |       Analysing 1 new subset pairs
INFO     | 2019-07-01 08:05:08,382 | progress   |       Finished subset 1/1, 100.00 percent done
INFO     | 2019-07-01 08:05:08,383 | analysis_m |       Finding the best partitioning scheme
INFO     | 2019-07-01 08:05:08,387 | analysis_m |       Combining subsets: 'nad5_1' and '16s, 12s'
INFO     | 2019-07-01 08:05:08,388 | analysis_m |       The best scheme has 8 subsets and improves the bic score by 67.61 to 58425.9
INFO     | 2019-07-01 08:05:08,389 | analysis_m |    *** Relaxed clustering algorithm step 7 of up to 13 ***
INFO     | 2019-07-01 08:05:08,389 | analysis_m |       Measuring the similarity of 28 subset pairs
INFO     | 2019-07-01 08:05:08,390 | analysis_m |       Choosing the 3 most similar subset pairs
INFO     | 2019-07-01 08:05:08,390 | analysis_m |       Analysing 1 new subset pairs
INFO     | 2019-07-01 08:05:11,500 | progress   |       Finished subset 1/1, 100.00 percent done
INFO     | 2019-07-01 08:05:11,501 | analysis_m |       Finding the best partitioning scheme
INFO     | 2019-07-01 08:05:11,505 | analysis_m |       Combining subsets: 'cytb_1, nad1_1' and 'nad5_1, 16s, 12s'
INFO     | 2019-07-01 08:05:11,507 | analysis_m |       The best scheme has 7 subsets and improves the bic score by 54.01 to 58371.9
INFO     | 2019-07-01 08:05:11,508 | analysis_m |    *** Relaxed clustering algorithm step 8 of up to 13 ***
INFO     | 2019-07-01 08:05:11,509 | analysis_m |       Measuring the similarity of 21 subset pairs
INFO     | 2019-07-01 08:05:11,509 | analysis_m |       Choosing the 3 most similar subset pairs
INFO     | 2019-07-01 08:05:11,510 | analysis_m |       Analysing 1 new subset pairs
INFO     | 2019-07-01 08:05:12,562 | progress   |       Finished subset 1/1, 100.00 percent done
INFO     | 2019-07-01 08:05:12,563 | analysis_m |       Finding the best partitioning scheme
INFO     | 2019-07-01 08:05:12,566 | analysis_m |       Combining subsets: 'nad5_3' and 'cytb_3, nad1_3'
INFO     | 2019-07-01 08:05:12,567 | analysis_m |       The best scheme has 6 subsets and improves the bic score by 96.48 to 58275.5
INFO     | 2019-07-01 08:05:12,568 | analysis_m |    *** Relaxed clustering algorithm step 9 of up to 13 ***
INFO     | 2019-07-01 08:05:12,568 | analysis_m |       Measuring the similarity of 15 subset pairs
INFO     | 2019-07-01 08:05:12,569 | analysis_m |       Choosing the 2 most similar subset pairs
INFO     | 2019-07-01 08:05:12,569 | analysis_m |       Analysing 1 new subset pairs
INFO     | 2019-07-01 08:05:12,902 | progress   |       Finished subset 1/1, 100.00 percent done
INFO     | 2019-07-01 08:05:12,902 | analysis_m |       Finding the best partitioning scheme
INFO     | 2019-07-01 08:05:12,903 | analysis_m |       Found no schemes that improve the score, stopping
INFO     | 2019-07-01 08:05:12,903 | analysis_m |    Relaxed clustering algorithm finished after 9 steps
INFO     | 2019-07-01 08:05:12,904 | analysis_m |    Best scoring scheme is scheme step_8, with bic score of 58275.458
INFO     | 2019-07-01 08:05:12,904 | model_util |    Information on best scheme is here: ./analysis/best_scheme.txt
INFO     | 2019-07-01 08:05:12,906 | model_util |    
INFO     | 2019-07-01 08:05:12,906 | model_util |    
INFO     | 2019-07-01 08:05:12,906 | model_util |    *Citations for this analysis*
INFO     | 2019-07-01 08:05:12,906 | model_util |    -----------------------------
INFO     | 2019-07-01 08:05:12,906 | model_util |    
INFO     | 2019-07-01 08:05:12,906 | model_util |    If you use this analysis in your published work, please cite the following papers on which your analysis relied.
INFO     | 2019-07-01 08:05:12,907 | model_util |    
INFO     | 2019-07-01 08:05:12,907 | model_util |    For the version of PartitionFinder you used, please cite:
INFO     | 2019-07-01 08:05:12,907 | model_util |    Lanfear, R., Frandsen, P. B., Wright, A. M., Senfeld, T., Calcott, B. (2016) PartitionFinder 2: new methods for selecting partitioned models of evolution formolecular and morphological phylogenetic analyses. Molecular biology and evolution. DOI: dx.doi.org/10.1093/molbev/msw260
INFO     | 2019-07-01 08:05:12,907 | model_util |    
INFO     | 2019-07-01 08:05:12,907 | model_util |    For the rcluster algorithm you used, please cite:
INFO     | 2019-07-01 08:05:12,907 | model_util |    Lanfear, R., Calcott, B., Kainer, D., Mayer, C., & Stamatakis, A. (2014). Selecting optimal partitioning schemes for phylogenomic datasets. BMC evolutionary biology, 14(1), 82.
INFO     | 2019-07-01 08:05:12,908 | model_util |    
INFO     | 2019-07-01 08:05:12,908 | model_util |    Your analysis also used RAxML, so please cite:
INFO     | 2019-07-01 08:05:12,908 | model_util |    Stamatakis, A. (2014). RAxML version 8: a tool for phylogenetic analysis and post-analysis of large phylogenies. Bioinformatics, 30(9), 1312-1313.
INFO     | 2019-07-01 08:05:12,908 | model_util |    
INFO     | 2019-07-01 08:05:12,910 | main       | Total processing time: 0:00:36 (h:m:s)
INFO     | 2019-07-01 08:05:12,911 | main       | Processing complete.
