Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-4256.76	-4258.01	1.24985	5.253895	1	0.0423387	0.152851	0.0528736	0.119218	0.0167366	0.0508192	0.0312965	0.0470854	0.101319	0.0402896	0.0943394	0.0827511	0.0796773	0.0748246	0.06020895	0.007931258	0.100603	0.340172	0.236351	0.00905872	0.260858	0.0529577	7.861191	0.04023895	-2.809934	0.136954	0.476752	1	2.38629	0.120745	0.254192	0.277502	0.347561	0.0481702	0.8353493
1	1	-6165.18	-6153.14	-12.039	27.73397	1	0.089342	0.0520147	0.0512323	0.084088	0.113612	0.0814366	0.0929452	0.15436	0.0273705	0.0540027	0.0639082	0.0729805	0.0964933	0.288293	0.06597135	-0.01422122	0.226227	0.407587	0.0287422	0.0177875	0.309711	0.00994514	29.44641	0.1156857	-2.718535	0.136954	0.476752	1	2.38629	0.511124	0.302297	0.0936054	0.0929738	0.1014645	1.14016
2	0	-3569.72	-3565.23	-4.48911	4.750453	0.79832	0.0354371	0.149512	0.0282076	0.174546	0.0126795	0.0449406	0.0159764	0.0151064	0.0895875	0.0249796	0.0356929	0.0711531	0.0517202	0.0680036	0.06474564	-0.07465012	0.0846533	0.437709	0.131409	0.00336806	0.331977	0.0108835	6.268972	0.1597907	-2.737289	0.0952012	0.406457	0.956488	2.54185	0.243765	0.294451	0.178	0.283785	0.08514061	1.876786
3	1	-3656.73	-3654.35	-2.37987	4.819469	0.709188	0.0563736	0.0406162	0.0457019	0.0946914	0.0890541	0.0453579	0.0578928	0.111849	0.020339	0.0473866	0.045599	0.067699	0.0451279	0.127143	0.0762211	-0.05777672	0.0310026	0.404086	0.0268175	0.00413663	0.533104	0.000853756	11.46973	0.2435399	-2.574117	0.0761518	0.367833	0.928226	2.62779	0.231795	0.343695	0.118127	0.306383	0.1857631	1.311024
4	0	-3389.98	-3389.75	-0.227048	4.737028	0.5264738	0.0361225	0.108383	0.0142565	0.170958	0.00878765	0.0206755	0.0124803	0.0209391	0.0884831	0.0104045	0.0262705	0.0641297	0.0473234	0.0342174	0.04401648	-0.01593537	0.0237012	0.298489	0.0811104	0.00252644	0.59227	0.00190338	7.609581	0.03892012	-3.123191	0.0383933	0.268848	0.838615	2.85414	0.252336	0.305651	0.166612	0.275401	0.02298475	1.693302
5	1	-3356.89	-3365.18	8.29117	2.612355	0.5820723	0.0625891	0.0440007	0.0417008	0.10272	0.0509359	0.0485776	0.0483096	0.0838082	0.0210643	0.0407178	0.0226683	0.0415978	0.0319058	0.0742018	0.0562589	-0.08561556	0.0168646	0.368659	0.0108967	0.00253879	0.600468	0.000572628	5.865032	0.1537736	-2.877791	0.0494328	0.302159	0.87189	2.77652	0.271032	0.285227	0.152777	0.290964	0.06815809	2.256132
6	0	-3330.74	-3328.53	-2.20591	4.90434	0.3141674	0.0405064	0.124221	0.00931334	0.168427	0.0081576	0.0170789	0.0110299	0.0236943	0.0790991	0.00825902	0.0537859	0.0375154	0.0435953	0.0423936	0.0398383	-0.01714278	0.00974238	0.530567	0.0300489	0.00210995	0.426827	0.00070535	7.855255	0.0516416	-3.222926	0.00651471	0.115552	0.618845	3.25909	0.259125	0.327856	0.156128	0.256891	0.03449882	1.496909
7	1	-3312.42	-3320.49	8.06639	2.196544	0.4025877	0.0458891	0.0379572	0.0498108	0.0742701	0.0390591	0.059497	0.0473251	0.0732104	0.0175179	0.0598783	0.023336	0.0456005	0.0250817	0.0326975	0.06823894	-0.09623676	0.0177451	0.502995	0.0274764	0.00175029	0.449083	0.000949963	3.923533	0.1439139	-2.68474	0.0170895	0.183687	0.734066	3.06516	0.27319	0.311835	0.137917	0.277058	0.0476771	3.018511
8	0	-3313.07	-3316.76	3.69384	4.763167	0.2846881	0.0504056	0.144592	0.0119902	0.141516	0.008364	0.0179308	0.0141797	0.0235061	0.0299629	0.00882755	0.0353533	0.0278115	0.0368766	0.0396808	0.03605198	-0.0336636	0.009614	0.481404	0.0276852	0.00290393	0.477922	0.000471074	7.502431	0.0465616	-3.322793	0.00413562	0.0926496	0.569169	3.33405	0.31652	0.300847	0.142184	0.24045	0.012898	3.609985
9	1	-3297.11	-3308.57	11.4617	2.196544	0.3192841	0.055689	0.0394681	0.0535458	0.0520446	0.0203636	0.053711	0.0621221	0.0920915	0.028828	0.0484922	0.0309495	0.0354319	0.020155	0.0380564	0.04389936	-0.03159411	0.0255224	0.510632	0.0123991	0.00313753	0.447104	0.00120461	4.802283	0.1609298	-3.125856	0.00698939	0.119556	0.626811	3.24664	0.276494	0.295181	0.148986	0.279339	0.1293357	1.24428
10	0	-3296.21	-3299.07	2.85815	4.088239	0.236201	0.0256423	0.0961969	0.0148081	0.122511	0.0100715	0.0222629	0.00748387	0.0227246	0.0299795	0.00515843	0.0183222	0.0207289	0.0243752	0.0472016	0.03529978	-0.04048496	0.0100157	0.516957	0.0167884	0.00301768	0.452997	0.000223611	10.3554	0.05500929	-3.343879	0.00152982	0.0569217	0.471468	3.47008	0.296093	0.300557	0.13659	0.26676	0.01452432	3.78739
11	1	-3298.93	-3310.55	11.6249	2.09494	0.3391888	0.0252329	0.0381364	0.0561396	0.0608046	0.0253397	0.0426345	0.0480601	0.0834729	0.0822298	0.0311028	0.0239465	0.0527164	0.022016	0.0394282	0.05105571	-0.02190737	0.0287595	0.468537	0.0131656	0.00340396	0.480517	0.00561617	4.142248	0.1238391	-2.974838	0.00900539	0.135129	0.656111	3.19975	0.277105	0.32088	0.135957	0.266058	0.1019318	1.214922
12	0	-3290.49	-3302.22	11.7233	4.088239	0.2013935	0.0406271	0.0508798	0.0158663	0.0981162	0.0188865	0.0252913	0.00985712	0.021075	0.0152947	0.00807706	0.0161572	0.0160231	0.0255493	0.0433012	0.02668789	-0.01013609	0.0174227	0.447868	0.0144941	0.00128185	0.518804	0.000128563	11.01075	0.03678757	-3.623545	0.000557192	0.0345832	0.387285	3.57757	0.279047	0.289739	0.148685	0.282529	0.02665149	1.38032
13	1	-3302.13	-3308.93	6.7976	2.057928	0.2486966	0.0317563	0.0325632	0.0577929	0.0610655	0.0303652	0.0279558	0.0489244	0.101012	0.132977	0.0400975	0.0278471	0.0405602	0.021198	0.0599371	0.04081715	0.06136999	0.0193494	0.503085	0.0104451	0.00307587	0.459329	0.00471648	4.712737	0.2093736	-3.198653	0.00205157	0.0657503	0.498729	3.43347	0.255863	0.297187	0.137586	0.309364	0.2707436	0.773328
14	0	-3284.74	-3298.71	13.9699	2.757428	0.2248303	0.0347236	0.0677985	0.0263049	0.0846906	0.0149064	0.0183881	0.0205212	0.0154247	0.0214749	0.0184559	0.0175326	0.0166885	0.0178182	0.0383782	0.02182093	0.06760015	0.0160522	0.512581	0.00860237	0.00483186	0.457659	0.000274233	10.27054	0.02087609	-3.824886	0.00113848	0.0492153	0.445321	3.50433	0.293802	0.289327	0.139205	0.277666	0.08847625	0.2359514
15	1	-3286.59	-3298.44	11.8445	2.012637	0.2104751	0.0211712	0.0385923	0.0545331	0.0698694	0.0318385	0.0316927	0.0516109	0.0575922	0.0545032	0.0411711	0.032634	0.0393058	0.0193117	0.0303903	0.04012223	-0.08429568	0.0165827	0.614123	0.00947205	0.00369468	0.353001	0.00312714	5.670069	0.231945	-3.215825	0.00074899	0.0400287	0.41044	3.54878	0.289872	0.314784	0.120999	0.274345	0.1476493	1.570918
16	0	-3298.99	-3307.82	8.8213	3.458598	0.1938505	0.0326608	0.0551065	0.0435096	0.0873947	0.0142898	0.018961	0.0170065	0.0329788	0.0158933	0.0187904	0.0331714	0.0215294	0.0216943	0.0271345	0.01852381	0.001934068	0.00747806	0.553339	0.00979108	0.00837996	0.420758	0.000253485	16.69021	0.07128063	-3.988699	0.0004267	0.0303048	0.367418	3.60185	0.27696	0.30269	0.119275	0.301074	0.0732147	0.9735836
17	1	-3287.1	-3300.36	13.2619	1.869777	0.207505	0.0238552	0.0312719	0.037089	0.0750351	0.0522564	0.0333565	0.0331003	0.0515203	0.0364006	0.0367039	0.0369844	0.0405865	0.023295	0.0278849	0.03209711	0.05750418	0.0140123	0.548381	0.00894175	0.00166092	0.424026	0.00297784	6.065775	0.139755	-3.438989	0.000681869	0.0382142	0.40296	3.55814	0.292936	0.293666	0.132366	0.281032	0.1972591	0.7084841
18	0	-3294.16	-3306.3	12.1466	3.458598	0.202531	0.0214653	0.0552831	0.048575	0.0549295	0.0276651	0.0139887	0.0142408	0.0278808	0.0257042	0.0157817	0.0553866	0.0264732	0.0276257	0.0296128	0.02613847	0.138654	0.00902138	0.519956	0.00611645	0.0153233	0.449109	0.000473881	18.38469	0.01755013	-3.644347	0.000579069	0.0352483	0.390231	3.57394	0.280323	0.341209	0.119024	0.259444	0.1562041	0.1123538
19	1	-3284.84	-3298.61	13.7732	1.869777	0.2063982	0.033413	0.0280773	0.0386583	0.0674049	0.0322669	0.0211572	0.0407172	0.0328312	0.0421227	0.0451209	0.0333157	0.034954	0.020811	0.0395678	0.03489676	-0.0556866	0.0185835	0.564122	0.0098689	0.00324927	0.401546	0.0026305	9.063726	0.152424	-3.355361	0.00065797	0.0375463	0.400149	3.56165	0.268698	0.302261	0.140798	0.288243	0.09673736	1.575647
20	0	-3291.25	-3304.29	13.0304	3.46743	0.1758211	0.0128929	0.0460383	0.0450778	0.0601163	0.0225224	0.0183293	0.0149647	0.021662	0.0121366	0.0175973	0.0463696	0.0343421	0.0220669	0.0225684	0.03012786	0.1174378	0.0117797	0.461932	0.00461536	0.0156315	0.503456	0.00258522	15.84135	0.004470947	-3.502305	0.000205464	0.0210934	0.317694	3.66101	0.302707	0.286435	0.139012	0.271846	0.1219088	0.03667452
21	1	-3291	-3301.08	10.0809	1.869777	0.2160812	0.0215194	0.0448384	0.0313034	0.0482859	0.0434806	0.0133075	0.0486889	0.0363272	0.0402912	0.0485865	0.06208	0.0935336	0.0267435	0.034728	0.0453099	-0.03224335	0.0158451	0.523766	0.0101544	0.00456262	0.443016	0.00265666	7.016401	0.1402051	-3.09423	0.000887925	0.0435372	0.424312	3.53126	0.294065	0.305632	0.128317	0.271985	0.1079617	1.298655
22	0	-3290.23	-3304.51	14.2857	3.645489	0.1644659	0.0142267	0.025849	0.0308996	0.0400415	0.0167281	0.00967445	0.0186273	0.0385927	0.00662839	0.0187941	0.0227614	0.0296026	0.0153076	0.0661287	0.02101589	0.1553044	0.009453	0.512296	0.00447802	0.0138395	0.455195	0.00473843	12.69587	0.02409617	-3.862476	0.000119406	0.0161089	0.284903	3.69887	0.309597	0.283948	0.122235	0.284219	0.1794006	0.1343149
23	1	-3292.58	-3301.3	8.71465	2.004093	0.1748858	0.00695947	0.0285657	0.0337321	0.0620015	0.0290805	0.0226994	0.0425763	0.0469702	0.0261155	0.0459824	0.0284207	0.148239	0.0403988	0.0559207	0.03683946	0.02582496	0.0184247	0.496434	0.0113477	0.00453088	0.459398	0.00986493	5.257523	0.09347261	-3.301186	0.000197006	0.0206578	0.315033	3.66411	0.307076	0.303955	0.132558	0.25641	0.1192976	0.7835249
24	0	-3302.86	-3311.5	8.63858	2.942335	0.1439738	0.0165185	0.0506734	0.0256944	0.0656554	0.0205224	0.0243914	0.0135917	0.043156	0.00950929	0.0225716	0.0159164	0.0481601	0.0180144	0.0888547	0.02092052	0.2277038	0.00932532	0.529137	0.00424256	0.0309	0.42293	0.00346535	16.44545	0.01221585	-3.867025	3.60839e-05	0.00888125	0.223582	3.7675	0.309248	0.290153	0.108124	0.292475	0.2399196	0.05091643
25	1	-3292.4	-3300.42	8.02308	2.17371	0.1792969	0.0130056	0.0365924	0.0460102	0.0590973	0.0441839	0.0303896	0.032945	0.0510277	0.0466443	0.0500608	0.0264767	0.130768	0.0227473	0.084351	0.04876717	0.0337727	0.0117691	0.53012	0.00711516	0.0108173	0.433961	0.0062167	7.074952	0.04427935	-3.020698	0.000239278	0.0227501	0.327515	3.6495	0.288019	0.298316	0.130185	0.28348	0.07805205	0.5673054
26	0	-3291.66	-3301.47	9.80268	2.770433	0.1815112	0.0427562	0.0432184	0.0284578	0.0440748	0.0125455	0.0209772	0.013949	0.0319129	0.00965277	0.0264895	0.0204755	0.0270267	0.0174955	0.0511636	0.03139486	0.502813	0.0143059	0.572975	0.00463015	0.00413333	0.399752	0.0042037	8.805542	0.006664019	-3.461111	0.000262864	0.0238362	0.333715	3.64219	0.282048	0.287056	0.138024	0.292871	0.5094771	0.01308011
27	1	-3290.21	-3296.22	6.00702	2.042581	0.1804157	0.0249853	0.0300497	0.0443905	0.0546807	0.0379888	0.0579642	0.0702334	0.0564777	0.0490688	0.0709807	0.0350541	0.0934476	0.0794703	0.0794679	0.05470471	0.0984089	0.00646507	0.502136	0.0136072	0.00953499	0.464903	0.00335404	7.295573	0.1585265	-2.905805	0.000250991	0.0232959	0.330653	3.6458	0.3011	0.298084	0.13157	0.269246	0.2569354	0.6169898
28	0	-3290.3	-3303.96	13.6549	2.358912	0.1735489	0.0486803	0.0381296	0.0383772	0.0607685	0.0122669	0.0266086	0.0106433	0.0243001	0.0222301	0.0178578	0.013488	0.0272857	0.0311346	0.0100655	0.02174918	0.1339047	0.0105253	0.584913	0.00335502	0.00163421	0.379456	0.0201167	11.5171	0.05931646	-3.828179	0.000185372	0.0200429	0.311216	3.66856	0.286053	0.309796	0.127577	0.276574	0.1932212	0.3069874
29	1	-3297.92	-3306.42	8.4969	2.042581	0.1636999	0.0283901	0.0296746	0.0406124	0.0611957	0.0410017	0.0688813	0.0618009	0.0500931	0.0574848	0.0636404	0.0306408	0.0372758	0.0676529	0.104372	0.04592454	-0.2485999	0.0134929	0.49526	0.0205326	0.00301368	0.464682	0.00301918	7.187792	0.2634758	-3.080756	0.000114801	0.0157971	0.282655	3.70143	0.306569	0.301196	0.131157	0.261078	0.01487589	17.71159
30	0	-3281.78	-3296.28	14.4992	2.885945	0.2075466	0.0432881	0.0345639	0.027358	0.048131	0.0174473	0.0270155	0.0195194	0.0443576	0.0144445	0.0359853	0.0270488	0.0240223	0.0390292	0.0249656	0.0252571	-0.06682312	0.0153264	0.47537	0.00187378	0.00232412	0.499893	0.00521329	11.19178	0.1458597	-3.678648	0.000682778	0.0382394	0.403065	3.55801	0.296579	0.303265	0.133484	0.266671	0.07903661	1.84547
31	1	-3296.23	-3304.29	8.0534	2.335999	0.1932876	0.044004	0.0210448	0.0375614	0.0355248	0.0425751	0.0406921	0.0480944	0.0680988	0.049226	0.142132	0.0217441	0.0457092	0.0464104	0.122844	0.046571	-0.07743404	0.00667624	0.579465	0.0164144	0.00436506	0.391297	0.00178215	6.409251	0.09024891	-3.066777	0.000417937	0.029995	0.365913	3.60367	0.290599	0.304639	0.137046	0.267717	0.01281486	7.042518
32	0	-3290.86	-3303.36	12.4973	2.713286	0.207899	0.0293756	0.035379	0.0202405	0.0798178	0.0216031	0.0246179	0.0264484	0.0515643	0.0189255	0.0256389	0.0282238	0.0311283	0.0338931	0.00947372	0.02772673	-0.2137276	0.0174912	0.468402	0.00216225	0.00169678	0.501413	0.00883428	16.52332	0.2738333	-3.585359	0.000690523	0.0384531	0.403957	3.5569	0.297177	0.285369	0.136378	0.281076	0.06010573	4.555861
33	1	-3285.3	-3296.98	11.6785	2.237762	0.1720044	0.0293706	0.0216229	0.0419443	0.0677991	0.0357644	0.0729241	0.0421343	0.0919285	0.0680637	0.0772834	0.0194337	0.030378	0.0345512	0.0573847	0.04805233	-0.02741807	0.0169615	0.565607	0.0116831	0.0148841	0.390271	0.000592471	4.280828	0.05480985	-3.035465	0.00017258	0.0193437	0.306789	3.6737	0.279051	0.31161	0.141718	0.267621	0.02739178	2.00096
34	0	-3286	-3299.6	13.5992	2.446909	0.1669203	0.0500676	0.0508727	0.024218	0.0574515	0.0302169	0.0416791	0.0162422	0.0241246	0.0115856	0.0183147	0.0205314	0.0189723	0.0329081	0.0118156	0.03333003	-0.1612416	0.0123189	0.584577	0.00735157	0.00143473	0.380886	0.0134312	8.536801	0.1725827	-3.401297	0.000135113	0.0171292	0.292076	3.69066	0.296635	0.305537	0.13595	0.261878	0.01134115	15.21739
35	1	-3287.19	-3296.99	9.79682	2.180434	0.1685161	0.0416802	0.0224028	0.0394512	0.060768	0.0298753	0.0454749	0.0187472	0.109748	0.112691	0.0506568	0.0174231	0.0269066	0.0689781	0.0236425	0.04861824	0.039611	0.0134746	0.545377	0.00935393	0.00732615	0.423822	0.000646647	4.770023	0.00828926	-3.023756	0.000146135	0.0178098	0.296716	3.68533	0.291316	0.305712	0.12907	0.273902	0.04790026	0.1730525
36	0	-3289.17	-3298.82	9.65772	2.666332	0.1958967	0.0434923	0.0558012	0.031513	0.107276	0.0321562	0.0547816	0.0302074	0.0293171	0.00804018	0.0178653	0.0139531	0.0123485	0.0211988	0.0345382	0.03227167	-0.0700383	0.0171181	0.545899	0.00445861	0.00613016	0.414348	0.0120459	8.981811	0.1360972	-3.433565	0.000459667	0.0314423	0.372864	3.59523	0.302755	0.283274	0.134064	0.279906	0.06605886	2.060241
37	1	-3291.58	-3302.49	10.909	2.426391	0.1965148	0.0369415	0.0248239	0.0531106	0.0462512	0.0487421	0.0401616	0.0367772	0.120987	0.0351806	0.127171	0.0174961	0.0377745	0.0426793	0.0391027	0.04005216	-0.06966509	0.0186048	0.473037	0.00828573	0.0159131	0.483905	0.000254325	4.541796	0.08443262	-3.217573	0.000469973	0.0317894	0.374501	3.59324	0.278893	0.312328	0.143297	0.265483	0.01476754	5.717448
38	0	-3291.67	-3297.43	5.75873	2.754967	0.1962034	0.03077	0.0835003	0.0245021	0.10753	0.0490316	0.0481704	0.0182594	0.024959	0.0143675	0.0236359	0.0451704	0.018638	0.0494656	0.0109517	0.03137798	-0.3600234	0.0145147	0.51014	0.00242578	0.00190915	0.464936	0.00607369	15.83758	0.4273062	-3.461649	0.000464761	0.0316143	0.373677	3.59424	0.301654	0.297302	0.125057	0.275986	0.06728288	6.350891
39	1	-3289.69	-3297.57	7.87315	2.13999	0.1960288	0.0158884	0.0337366	0.0566905	0.0998037	0.0392	0.0619837	0.0405083	0.0934698	0.018281	0.0370004	0.0251249	0.0856985	0.0499817	0.0388707	0.03584274	-0.009720819	0.0152561	0.536803	0.00722351	0.0127368	0.426873	0.00110678	6.656516	0.05362403	-3.328614	0.000461855	0.0315163	0.373214	3.59481	0.293747	0.297583	0.135285	0.273385	0.04390321	1.221415
40	0	-3289.2	-3296.73	7.53144	2.940289	0.1907919	0.0707092	0.0820081	0.023106	0.127475	0.0538795	0.0370953	0.0307235	0.0418459	0.0139325	0.0316332	0.0328596	0.0134202	0.0277464	0.0108242	0.03696759	0.02172419	0.0127028	0.532555	0.000810761	0.00450068	0.442901	0.00653019	7.649395	0.04036706	-3.297714	0.000380642	0.028638	0.359201	3.61178	0.311131	0.280028	0.136886	0.271955	0.06209126	0.6501248
41	1	-3289.89	-3298.96	9.06954	2.184847	0.2040827	0.031907	0.0332941	0.0992815	0.0842724	0.0313431	0.0665314	0.0258376	0.0824404	0.027193	0.0345302	0.0207765	0.0244536	0.0333992	0.0438116	0.04222865	0.1018756	0.013787	0.545876	0.00627643	0.0121465	0.421247	0.000667353	8.016207	0.04720389	-3.164656	0.000609876	0.0361635	0.394229	3.569	0.292663	0.301189	0.120587	0.28556	0.1490794	0.3166358
42	0	-3289.49	-3298.33	8.83781	2.651762	0.1995	0.0663249	0.0578769	0.0218401	0.111234	0.0184924	0.0281096	0.0330647	0.0324045	0.0157495	0.0131839	0.0703333	0.0229149	0.0280862	0.021847	0.03565293	0.008373244	0.0188894	0.437705	0.00563543	0.00494771	0.529419	0.00340407	8.154025	0.1247937	-3.333924	0.000522086	0.0334875	0.382352	3.58364	0.285253	0.306949	0.151711	0.256088	0.1331669	0.9371222
