Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	1.35751	0	1.35751	10.3675	1	0.0147559	0.0122317	0.0148002	0.0384987	0.0431292	0.0858579	0.0578716	0.026825	0.0157421	0.0164613	0.0710439	0.0632349	0.0104609	0.0359715	0.0424322	0.1570643	0.107762	0.116553	0.450479	0.0364167	0.196625	0.0921639	38.46803	0.1192193	-3.159848	0.136954	0.476752	1	2.38629	0.0370039	0.0219321	0.758649	0.182415	0.2762836	0.4315107
1	1	-7.43687	0	-7.43687	7.631015	1	0.0356278	0.0978652	0.0984181	0.082111	0.0670438	0.126024	0.0651224	0.0698055	0.0829852	0.0702386	0.0454485	0.256001	0.0893146	0.0830235	0.1083251	0.1007586	0.225787	0.207136	0.0848594	0.436199	0.0124297	0.0335885	21.55722	0.04619862	-2.222619	0.136954	0.476752	1	2.38629	0.132679	0.223347	0.388056	0.255917	0.1469572	0.3143679
2	0	8.94971	0	8.94971	4.136484	0.8219421	0.0123492	0.0155178	0.0210427	0.0226254	0.0540014	0.0883831	0.0740773	0.0371206	0.0142584	0.0191055	0.0517876	0.0463162	0.0365854	0.0331922	0.03474726	0.273908	0.0532544	0.0489866	0.362362	0.0296406	0.254681	0.251075	44.32982	0.05249446	-3.359654	0.100219	0.41582	0.962854	2.52111	0.182532	0.352838	0.178073	0.286557	0.3264025	0.1608274
3	1	-8.35491	0	-8.35491	9.912812	0.9938093	0.0350936	0.0774441	0.108548	0.0679759	0.0431967	0.146515	0.0579198	0.0401653	0.118243	0.066297	0.0522161	0.351833	0.0677995	0.0597773	0.06436952	0.05550429	0.12402	0.471879	0.153966	0.216853	0.00392537	0.0293561	33.41898	0.03289332	-2.743115	0.135717	0.474883	0.998967	2.39043	0.471449	0.13141	0.260438	0.136703	0.08839761	0.3721064
4	0	7.42688	0	7.42688	4.272672	1.399821	0.0108445	0.0249445	0.0253141	0.0121443	0.0703384	0.0793177	0.0579399	0.0201335	0.0194552	0.0173781	0.0368225	0.0507795	0.0341957	0.0311548	0.03180004	0.06828813	0.123753	0.0553715	0.512073	0.0113502	0.261292	0.0361607	10.7254	0.1274667	-3.448288	0.209424	0.570985	1.04395	2.17564	0.255661	0.498788	0.0131448	0.232406	0.1957548	0.6511548
5	1	-13.0388	0	-13.0388	39.75292	1.128804	0.0475336	0.134299	0.100874	0.0361921	0.0342752	0.10043	0.147596	0.0422701	0.094843	0.0562349	0.066364	0.288223	0.0706154	0.0325063	0.06281664	0.01970533	0.15444	0.352281	0.170461	0.276926	0.014921	0.030971	47.1537	0.06678732	-2.767535	0.161914	0.512316	1.01845	2.30732	0.263144	0.0505574	0.50561	0.180688	0.08649265	0.7721734
6	0	11.3225	0	11.3225	0.9192095	1.184863	0.0149689	0.0248186	0.0101336	0.0128664	0.0822891	0.059289	0.0479516	0.0316657	0.0260536	0.0144215	0.0233776	0.055867	0.0384083	0.0206387	0.02602268	0.09768949	0.100063	0.0292809	0.420241	0.0212087	0.30069	0.128517	11.00068	0.1667414	-3.648787	0.172299	0.526046	1.02496	2.2767	0.478271	0.307237	0.0921772	0.122315	0.2644308	0.630567
7	1	-9.32235	0	-9.32235	25.10883	1.26543	0.0530077	0.148657	0.0908275	0.0554642	0.0411456	0.0861412	0.120236	0.0480068	0.0500225	0.0396164	0.124787	0.247175	0.0915839	0.0387951	0.06993759	-0.005972095	0.255398	0.223401	0.20293	0.237882	0.0217195	0.0586704	26.84074	0.04947767	-2.660152	0.18671	0.544206	1.03306	2.23602	0.15331	0.609854	0.0903982	0.146437	0.04350558	1.137272
8	0	6.04387	0	6.04387	1.502827	1.256012	0.00978069	0.0323817	0.0207911	0.0104925	0.137044	0.0525464	0.0251501	0.0422422	0.022991	0.0109892	0.0293153	0.0511309	0.0644775	0.0123905	0.02499718	0.07823306	0.107305	0.0450827	0.176963	0.042396	0.393926	0.234327	36.47583	0.2079225	-3.688992	0.185057	0.542172	1.03218	2.24059	0.0576736	0.502436	0.352781	0.087109	0.2861556	0.7266065
9	1	-7.71454	0	-7.71454	15.461	1.276178	0.0465394	0.141761	0.0621908	0.0955265	0.0589383	0.0348427	0.108336	0.0394638	0.0786701	0.0272596	0.0735742	0.130663	0.0839367	0.0644185	0.1038648	-0.0763844	0.335866	0.144465	0.292729	0.116398	0.018642	0.0918996	17.93215	0.2074682	-2.264665	0.188587	0.546501	1.03404	2.23087	0.0528944	0.071383	0.769465	0.106258	0.1310838	1.582714
10	0	6.94805	0	6.94805	3.276314	1.209779	0.0156372	0.0306868	0.0166872	0.0160422	0.144733	0.0407905	0.0334166	0.0513247	0.0243024	0.0229204	0.0258941	0.0473568	0.0516366	0.022134	0.02691352	0.2449454	0.3569	0.0166567	0.18107	0.0754109	0.14381	0.226152	35.13031	0.1837007	-3.615126	0.176821	0.53185	1.02761	2.26372	0.12893	0.170276	0.0468325	0.653961	0.4286461	0.4285603
11	1	-4.70328	0	-4.70328	5.148212	1.703705	0.0611266	0.139791	0.0621082	0.0797067	0.0543594	0.0323182	0.190721	0.0757088	0.059854	0.0609533	0.127355	0.0778978	0.102789	0.0844273	0.06656826	-0.1057519	0.111764	0.0205374	0.756218	0.0869427	0.0105174	0.0140203	15.5837	0.197882	-2.709527	0.255146	0.61929	1.06044	2.06512	0.134672	0.18692	0.140243	0.538164	0.09213012	2.147854
12	0	7.04097	0	7.04097	3.001583	1.526021	0.0173254	0.0234937	0.0190402	0.0193998	0.149041	0.0487785	0.0401283	0.0460405	0.0323537	0.0113547	0.0421425	0.0505332	0.023953	0.0294537	0.03612276	0.08209128	0.313626	0.0139966	0.0781782	0.224294	0.136314	0.233591	32.76985	0.1190581	-3.320832	0.229314	0.592831	1.05191	2.12594	0.486851	0.346864	0.0143748	0.15191	0.2011494	0.591889
13	1	-6.24858	0	-6.24858	6.314381	1.516335	0.0566728	0.149163	0.112464	0.147337	0.0666751	0.0938322	0.178921	0.0495835	0.0643484	0.0332839	0.0712832	0.0331867	0.08258	0.0481401	0.06466146	0.2038453	0.127702	0.250849	0.42464	0.0952367	0.0228463	0.0787259	36.1258	0.07739508	-2.73859	0.227835	0.591253	1.05137	2.12955	0.721548	0.148524	0.104324	0.0256047	0.2812404	0.2751919
14	0	8.3938	0	8.3938	4.708204	1.534999	0.0237919	0.042502	0.0185263	0.027659	0.0525469	0.0384772	0.0515359	0.0486323	0.0148898	0.0149458	0.0700265	0.0516979	0.0404386	0.0219967	0.02991647	0.09853062	0.19963	0.00812756	0.0209181	0.130857	0.333938	0.306529	29.15126	0.1204636	-3.509346	0.230679	0.59428	1.05241	2.12263	0.408189	0.197402	0.0424002	0.352009	0.2189943	0.5500767
15	1	-12.5635	0	-12.5635	4.696964	1.962348	0.0333813	0.161727	0.103445	0.179992	0.0349119	0.0862229	0.26746	0.0720868	0.0618925	0.0464515	0.0580993	0.0311033	0.0464161	0.0947288	0.08234311	0.5616649	0.0541682	0.345862	0.182408	0.334947	0.0480652	0.0345487	26.02368	0.1062924	-2.496861	0.288738	0.650949	1.06902	1.99129	0.600156	0.113954	0.142509	0.143381	0.6679573	0.1591306
16	0	7.13011	0	7.13011	7.37578	1.432353	0.0288579	0.03541	0.0293719	0.0218657	0.0720113	0.0196152	0.0314774	0.0320892	0.0152521	0.0199986	0.0445517	0.0634702	0.0418134	0.0199224	0.03934154	0.1483501	0.229367	0.0137257	0.00439345	0.0310655	0.326928	0.394521	21.58628	0.08129926	-3.235474	0.214681	0.576895	1.04619	2.16224	0.734111	0.0281608	0.051205	0.186523	0.2296493	0.3540148
17	1	-6.92896	0	-6.92896	7.924284	2.108146	0.0498979	0.138505	0.0955158	0.0912902	0.0270342	0.105322	0.272213	0.116661	0.0478313	0.068036	0.0556835	0.0289322	0.0468723	0.0790471	0.08004288	-0.01493062	0.0459676	0.33891	0.195119	0.379461	0.0139413	0.026601	23.12769	0.1295999	-2.525193	0.305851	0.666042	1.07247	1.95563	0.352586	0.200938	0.248144	0.198332	0.1146693	1.130206
18	0	5.11479	0	5.11479	5.893136	1.438034	0.0228763	0.0385504	0.037597	0.0149975	0.121966	0.015046	0.036366	0.0368891	0.0391514	0.029123	0.0260455	0.0388544	0.0270262	0.0168671	0.03848813	-0.04001287	0.222353	0.0251975	0.00519337	0.0669984	0.190276	0.489983	37.99067	0.1275255	-3.257406	0.215589	0.577906	1.04657	2.15994	0.309678	0.0663285	0.397596	0.226398	0.08751262	1.457224
19	1	-10.0449	0	-10.0449	20.92174	1.821121	0.0648536	0.134708	0.135458	0.155242	0.0458051	0.0894603	0.141963	0.100622	0.0968316	0.0651741	0.0631583	0.0464656	0.0461937	0.0324049	0.09511341	0.1130458	0.026634	0.276782	0.149771	0.410153	0.0223831	0.114277	32.30506	0.08117772	-2.352685	0.270945	0.634536	1.06479	2.02973	0.479699	0.140841	0.0970565	0.282403	0.1942236	0.4179602
20	0	8.23332	0	8.23332	8.23385	1.737807	0.0255189	0.0198684	0.0193868	0.0111794	0.127617	0.00831807	0.0361099	0.0181018	0.0649546	0.0164201	0.0132927	0.0388814	0.0287811	0.0109849	0.02400588	-0.01805178	0.392854	0.0861465	0.028298	0.144834	0.132066	0.215802	12.73814	0.09375049	-3.729457	0.259834	0.623883	1.06179	2.05449	0.0934689	0.294695	0.459573	0.152263	0.0756987	1.238469
21	1	-5.45973	0	-5.45973	29.06853	1.644608	0.0382912	0.0550968	0.0782589	0.098827	0.0637484	0.0894298	0.0949962	0.130526	0.100669	0.0784595	0.0554298	0.0568776	0.0440527	0.038017	0.07859252	-0.0009861285	0.0155718	0.454493	0.0933126	0.178321	0.0207894	0.237512	36.32894	0.1252752	-2.543479	0.246822	0.610981	1.05789	2.0843	0.292661	0.0536688	0.37899	0.27468	0.1242891	1.007934
22	0	4.45967	0	4.45967	8.281321	1.639067	0.023889	0.0546155	0.0232089	0.0182575	0.179163	0.00924239	0.0180126	0.0130515	0.047095	0.0209572	0.0279222	0.0892685	0.0211093	0.0189126	0.0346708	0.06577408	0.176436	0.189413	0.0341783	0.287586	0.153231	0.159156	9.035682	0.03072586	-3.361857	0.246028	0.610178	1.05764	2.08615	0.154863	0.312809	0.208217	0.324111	0.09649994	0.3184029
23	1	-7.79836	0	-7.79836	16.67391	1.360402	0.0451287	0.0972691	0.164123	0.150139	0.0612421	0.0945106	0.111434	0.0867741	0.103101	0.0720917	0.0570413	0.0517349	0.0671552	0.0483293	0.09130006	0.01140562	0.0773835	0.397063	0.0698806	0.278192	0.0488106	0.12867	45.64501	0.06148251	-2.393604	0.20293	0.563541	1.04105	2.19248	0.0176927	0.0642384	0.220078	0.697991	0.07288813	0.8435189
24	0	-3.52999	0	-3.52999	10.95479	1.493454	0.0215901	0.0393215	0.0243199	0.0175489	0.20698	0.0165336	0.00849292	0.0162128	0.0908672	0.0171693	0.0464202	0.10336	0.0359441	0.0146516	0.03545989	0.07888304	0.138551	0.126249	0.0492737	0.290918	0.217896	0.177113	23.00386	0.07144266	-3.339353	0.22431	0.587463	1.05003	2.13819	0.411361	0.322335	0.260648	0.00565574	0.1503257	0.4752525
25	1	-9.61441	0	-9.61441	15.76881	1.033371	0.0278257	0.107977	0.132502	0.110176	0.107553	0.0793225	0.108278	0.070544	0.0831886	0.125994	0.0590185	0.047683	0.0392934	0.0581994	0.0570048	-0.03074567	0.0582796	0.350964	0.0458434	0.24212	0.144347	0.158446	46.96466	0.1250559	-2.86462	0.143564	0.486557	1.00532	2.36456	0.00538997	0.138365	0.319446	0.5368	0.09431021	1.326006
26	0	3.39095	0	3.39095	10.27139	1.723236	0.0154889	0.0542344	0.0233754	0.0203236	0.217557	0.0152903	0.020931	0.0249759	0.0513039	0.0139904	0.0579853	0.0525484	0.0349242	0.0207844	0.03152333	0.1390286	0.13447	0.143459	0.0563204	0.226503	0.23987	0.199378	45.9316	0.03941212	-3.457027	0.257841	0.621938	1.06123	2.059	0.351618	0.116441	0.520959	0.0109816	0.1784408	0.2208695
27	1	-11.6822	0	-11.6822	24.40499	1.315456	0.0235985	0.0772198	0.119468	0.0687907	0.105806	0.0498359	0.160594	0.0967621	0.0708862	0.207988	0.0672946	0.0868101	0.0744339	0.0718243	0.1031773	-0.08119519	0.0228737	0.417926	0.0389873	0.140021	0.159256	0.220936	28.11998	0.1283089	-2.271306	0.195356	0.55465	1.03746	2.21254	0.152006	0.12736	0.66005	0.060585	0.04711375	2.723386
