Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-7.43687	0	-7.43687	7.631015	1	0.0356278	0.0978652	0.0984181	0.082111	0.0670438	0.126024	0.0651224	0.0698055	0.0829852	0.0702386	0.0454485	0.256001	0.0893146	0.0830235	0.1083251	0.1007586	0.225787	0.207136	0.0848594	0.436199	0.0124297	0.0335885	21.55722	0.04619862	-2.222619	0.136954	0.476752	1	2.38629	0.132679	0.223347	0.388056	0.255917	0.1469572	0.3143679
10	-8.35491	0	-8.35491	9.912812	0.9938093	0.0350936	0.0774441	0.108548	0.0679759	0.0431967	0.146515	0.0579198	0.0401653	0.118243	0.066297	0.0522161	0.351833	0.0677995	0.0597773	0.06436952	0.05550429	0.12402	0.471879	0.153966	0.216853	0.00392537	0.0293561	33.41898	0.03289332	-2.743115	0.135717	0.474883	0.998967	2.39043	0.471449	0.13141	0.260438	0.136703	0.08839761	0.3721064
20	-13.0388	0	-13.0388	39.75292	1.128804	0.0475336	0.134299	0.100874	0.0361921	0.0342752	0.10043	0.147596	0.0422701	0.094843	0.0562349	0.066364	0.288223	0.0706154	0.0325063	0.06281664	0.01970533	0.15444	0.352281	0.170461	0.276926	0.014921	0.030971	47.1537	0.06678732	-2.767535	0.161914	0.512316	1.01845	2.30732	0.263144	0.0505574	0.50561	0.180688	0.08649265	0.7721734
30	-9.32235	0	-9.32235	25.10883	1.26543	0.0530077	0.148657	0.0908275	0.0554642	0.0411456	0.0861412	0.120236	0.0480068	0.0500225	0.0396164	0.124787	0.247175	0.0915839	0.0387951	0.06993759	-0.005972095	0.255398	0.223401	0.20293	0.237882	0.0217195	0.0586704	26.84074	0.04947767	-2.660152	0.18671	0.544206	1.03306	2.23602	0.15331	0.609854	0.0903982	0.146437	0.04350558	1.137272
40	-7.71454	0	-7.71454	15.461	1.276178	0.0465394	0.141761	0.0621908	0.0955265	0.0589383	0.0348427	0.108336	0.0394638	0.0786701	0.0272596	0.0735742	0.130663	0.0839367	0.0644185	0.1038648	-0.0763844	0.335866	0.144465	0.292729	0.116398	0.018642	0.0918996	17.93215	0.2074682	-2.264665	0.188587	0.546501	1.03404	2.23087	0.0528944	0.071383	0.769465	0.106258	0.1310838	1.582714
50	-4.70328	0	-4.70328	5.148212	1.703705	0.0611266	0.139791	0.0621082	0.0797067	0.0543594	0.0323182	0.190721	0.0757088	0.059854	0.0609533	0.127355	0.0778978	0.102789	0.0844273	0.06656826	-0.1057519	0.111764	0.0205374	0.756218	0.0869427	0.0105174	0.0140203	15.5837	0.197882	-2.709527	0.255146	0.61929	1.06044	2.06512	0.134672	0.18692	0.140243	0.538164	0.09213012	2.147854
60	-6.24858	0	-6.24858	6.314381	1.516335	0.0566728	0.149163	0.112464	0.147337	0.0666751	0.0938322	0.178921	0.0495835	0.0643484	0.0332839	0.0712832	0.0331867	0.08258	0.0481401	0.06466146	0.2038453	0.127702	0.250849	0.42464	0.0952367	0.0228463	0.0787259	36.1258	0.07739508	-2.73859	0.227835	0.591253	1.05137	2.12955	0.721548	0.148524	0.104324	0.0256047	0.2812404	0.2751919
70	-12.5635	0	-12.5635	4.696964	1.962348	0.0333813	0.161727	0.103445	0.179992	0.0349119	0.0862229	0.26746	0.0720868	0.0618925	0.0464515	0.0580993	0.0311033	0.0464161	0.0947288	0.08234311	0.5616649	0.0541682	0.345862	0.182408	0.334947	0.0480652	0.0345487	26.02368	0.1062924	-2.496861	0.288738	0.650949	1.06902	1.99129	0.600156	0.113954	0.142509	0.143381	0.6679573	0.1591306
80	-6.92896	0	-6.92896	7.924284	2.108146	0.0498979	0.138505	0.0955158	0.0912902	0.0270342	0.105322	0.272213	0.116661	0.0478313	0.068036	0.0556835	0.0289322	0.0468723	0.0790471	0.08004288	-0.01493062	0.0459676	0.33891	0.195119	0.379461	0.0139413	0.026601	23.12769	0.1295999	-2.525193	0.305851	0.666042	1.07247	1.95563	0.352586	0.200938	0.248144	0.198332	0.1146693	1.130206
90	-10.0449	0	-10.0449	20.92174	1.821121	0.0648536	0.134708	0.135458	0.155242	0.0458051	0.0894603	0.141963	0.100622	0.0968316	0.0651741	0.0631583	0.0464656	0.0461937	0.0324049	0.09511341	0.1130458	0.026634	0.276782	0.149771	0.410153	0.0223831	0.114277	32.30506	0.08117772	-2.352685	0.270945	0.634536	1.06479	2.02973	0.479699	0.140841	0.0970565	0.282403	0.1942236	0.4179602
