Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-6165.18	-6153.14	-12.039	27.73397	1	0.089342	0.0520147	0.0512323	0.084088	0.113612	0.0814366	0.0929452	0.15436	0.0273705	0.0540027	0.0639082	0.0729805	0.0964933	0.288293	0.06597135	-0.01422122	0.226227	0.407587	0.0287422	0.0177875	0.309711	0.00994514	29.44641	0.1156857	-2.718535	0.136954	0.476752	1	2.38629	0.511124	0.302297	0.0936054	0.0929738	0.1014645	1.14016
10	-3656.73	-3654.35	-2.37987	4.819469	0.709188	0.0563736	0.0406162	0.0457019	0.0946914	0.0890541	0.0453579	0.0578928	0.111849	0.020339	0.0473866	0.045599	0.067699	0.0451279	0.127143	0.0762211	-0.05777672	0.0310026	0.404086	0.0268175	0.00413663	0.533104	0.000853756	11.46973	0.2435399	-2.574117	0.0761518	0.367833	0.928226	2.62779	0.231795	0.343695	0.118127	0.306383	0.1857631	1.311024
20	-3356.89	-3365.18	8.29117	2.612355	0.5820723	0.0625891	0.0440007	0.0417008	0.10272	0.0509359	0.0485776	0.0483096	0.0838082	0.0210643	0.0407178	0.0226683	0.0415978	0.0319058	0.0742018	0.0562589	-0.08561556	0.0168646	0.368659	0.0108967	0.00253879	0.600468	0.000572628	5.865032	0.1537736	-2.877791	0.0494328	0.302159	0.87189	2.77652	0.271032	0.285227	0.152777	0.290964	0.06815809	2.256132
30	-3312.42	-3320.49	8.06639	2.196544	0.4025877	0.0458891	0.0379572	0.0498108	0.0742701	0.0390591	0.059497	0.0473251	0.0732104	0.0175179	0.0598783	0.023336	0.0456005	0.0250817	0.0326975	0.06823894	-0.09623676	0.0177451	0.502995	0.0274764	0.00175029	0.449083	0.000949963	3.923533	0.1439139	-2.68474	0.0170895	0.183687	0.734066	3.06516	0.27319	0.311835	0.137917	0.277058	0.0476771	3.018511
40	-3297.11	-3308.57	11.4617	2.196544	0.3192841	0.055689	0.0394681	0.0535458	0.0520446	0.0203636	0.053711	0.0621221	0.0920915	0.028828	0.0484922	0.0309495	0.0354319	0.020155	0.0380564	0.04389936	-0.03159411	0.0255224	0.510632	0.0123991	0.00313753	0.447104	0.00120461	4.802283	0.1609298	-3.125856	0.00698939	0.119556	0.626811	3.24664	0.276494	0.295181	0.148986	0.279339	0.1293357	1.24428
50	-3298.93	-3310.55	11.6249	2.09494	0.3391888	0.0252329	0.0381364	0.0561396	0.0608046	0.0253397	0.0426345	0.0480601	0.0834729	0.0822298	0.0311028	0.0239465	0.0527164	0.022016	0.0394282	0.05105571	-0.02190737	0.0287595	0.468537	0.0131656	0.00340396	0.480517	0.00561617	4.142248	0.1238391	-2.974838	0.00900539	0.135129	0.656111	3.19975	0.277105	0.32088	0.135957	0.266058	0.1019318	1.214922
60	-3302.13	-3308.93	6.7976	2.057928	0.2486966	0.0317563	0.0325632	0.0577929	0.0610655	0.0303652	0.0279558	0.0489244	0.101012	0.132977	0.0400975	0.0278471	0.0405602	0.021198	0.0599371	0.04081715	0.06136999	0.0193494	0.503085	0.0104451	0.00307587	0.459329	0.00471648	4.712737	0.2093736	-3.198653	0.00205157	0.0657503	0.498729	3.43347	0.255863	0.297187	0.137586	0.309364	0.2707436	0.773328
70	-3286.59	-3298.44	11.8445	2.012637	0.2104751	0.0211712	0.0385923	0.0545331	0.0698694	0.0318385	0.0316927	0.0516109	0.0575922	0.0545032	0.0411711	0.032634	0.0393058	0.0193117	0.0303903	0.04012223	-0.08429568	0.0165827	0.614123	0.00947205	0.00369468	0.353001	0.00312714	5.670069	0.231945	-3.215825	0.00074899	0.0400287	0.41044	3.54878	0.289872	0.314784	0.120999	0.274345	0.1476493	1.570918
80	-3287.1	-3300.36	13.2619	1.869777	0.207505	0.0238552	0.0312719	0.037089	0.0750351	0.0522564	0.0333565	0.0331003	0.0515203	0.0364006	0.0367039	0.0369844	0.0405865	0.023295	0.0278849	0.03209711	0.05750418	0.0140123	0.548381	0.00894175	0.00166092	0.424026	0.00297784	6.065775	0.139755	-3.438989	0.000681869	0.0382142	0.40296	3.55814	0.292936	0.293666	0.132366	0.281032	0.1972591	0.7084841
90	-3284.84	-3298.61	13.7732	1.869777	0.2063982	0.033413	0.0280773	0.0386583	0.0674049	0.0322669	0.0211572	0.0407172	0.0328312	0.0421227	0.0451209	0.0333157	0.034954	0.020811	0.0395678	0.03489676	-0.0556866	0.0185835	0.564122	0.0098689	0.00324927	0.401546	0.0026305	9.063726	0.152424	-3.355361	0.00065797	0.0375463	0.400149	3.56165	0.268698	0.302261	0.140798	0.288243	0.09673736	1.575647
