Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	alpha_morpho	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	branch_rates_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-6438.9	-6183.51	-255.392	32.49081	1	1.225889	0.0975406	0.0279498	0.0960358	0.226348	0.0551565	0.155757	0.0795969	0.0876712	0.0804213	0.0382588	0.0439397	0.0850562	0.0407763	0.106781	0.0328596	0.046882	0.0413993	0.0745004	0.0368818	0.112717	0.0815166	0.0911775	0.0690474	0.12245	0.0506524	0.0617802	0.120219	0.104613	0.115603	0.0503895	0.208868	0.0991964	0.0733635	0.0365722	0.0535215	0.0159644	0.124854	0.089434	0.0625075	0.150976	0.161919	0.0528321	0.07195978	0.03956019	0.02144153	0.00108354	0.327698	0.0726082	0.0217018	0.450878	0.12603	35.90641	0.005504306	-2.631648	0	46.66284	0.06024498	0.136954	0.476752	1	2.38629	0.179713	0.535511	1.02925	2.25552	0.197746	0.213187	0.304451	0.284617	0.02694584	0.204273
10	-4575.26	-4340.21	-235.052	12.47007	0.573753	2.289611	0.109554	0.0319974	0.077941	0.283619	0.0962089	0.179764	0.0620074	0.0787757	0.0255535	0.0473314	0.0643135	0.0391546	0.0796462	0.0505572	0.0187599	0.0736602	0.0300076	0.122628	0.046619	0.0811974	0.0432051	0.0941109	0.0348884	0.0593222	0.0168248	0.0356212	0.0466239	0.0730723	0.0693121	0.0445265	0.0934714	0.0862798	0.0390158	0.0301576	0.0373151	0.0130174	0.0718896	0.0647308	0.070096	0.11602	0.0995711	0.0743294	0.05589624	0.02142084	0.02730252	0.000475073	0.0926914	0.0162216	0.00727217	0.859396	0.0239436	35.79683	0.005548007	-2.884258	1	47.80232	0.08248098	0.0477437	0.297364	0.867314	2.78758	0.325557	0.682655	1.0758	1.91599	0.219343	0.359574	0.155034	0.266048	0.03285053	0.1688864
20	-4163.04	-3950.62	-212.417	12.70165	0.3541606	3.237544	0.189916	0.0268536	0.0878455	0.190747	0.053196	0.176035	0.0231305	0.0695835	0.0356105	0.0398579	0.0425954	0.0424388	0.0442964	0.0287265	0.0154432	0.0789911	0.0249689	0.148281	0.0372749	0.0469508	0.0504772	0.0564044	0.0465403	0.031081	0.0109664	0.0185469	0.0289601	0.0604851	0.0354584	0.0381937	0.0436769	0.0607267	0.0455078	0.0277328	0.0151521	0.0262187	0.0704174	0.0766942	0.0623638	0.0791039	0.135385	0.0492205	0.04945546	0.0153882	0.07360773	0.000801108	0.168729	0.010918	0.00316908	0.797996	0.0183868	28.07227	0.008694686	-3.006683	0	46.28563	0.08248098	0.0106943	0.146787	0.676501	3.16602	0.406843	0.743886	1.08346	1.76581	0.300593	0.314925	0.137422	0.24706	0.08230241	0.1056431
30	-4021.31	-3829.58	-191.73	12.70165	0.3078531	3.08655	0.120137	0.0502678	0.110794	0.220741	0.0776686	0.0598567	0.0164439	0.047725	0.0317792	0.0639332	0.0376973	0.0213304	0.0853233	0.00964809	0.0210642	0.0895571	0.0239171	0.0726544	0.0332571	0.0394603	0.0962006	0.0352192	0.0245599	0.0213177	0.00811111	0.00682462	0.025621	0.043087	0.054488	0.0398014	0.0303052	0.0302633	0.0340102	0.0167411	0.0236349	0.0123708	0.0674851	0.0442988	0.0943725	0.0766133	0.112569	0.0296084	0.0327942	0.01677676	0.05634068	0.00208901	0.385525	0.0158352	0.00729708	0.571752	0.0175016	28.58306	0.02070361	-3.417504	1	45.33564	0.1156336	0.00595394	0.110617	0.608758	3.27467	0.395849	0.73621	1.08291	1.78503	0.269114	0.335167	0.130203	0.265515	0.07704429	0.2687235
40	-3937.49	-3776.92	-160.569	13.29791	0.2671965	1.343715	0.131034	0.0429931	0.0385494	0.308431	0.038358	0.0465855	0.014893	0.0457959	0.0233143	0.0705785	0.0261553	0.0208681	0.049403	0.0063884	0.0251551	0.0798679	0.0203418	0.0450788	0.021374	0.0403572	0.0453326	0.0248792	0.0231837	0.0141566	0.0145149	0.00614553	0.0297002	0.0195635	0.0219186	0.0561417	0.0229635	0.0193145	0.0495828	0.0128458	0.0244589	0.0179562	0.0331035	0.0435553	0.0683768	0.0659847	0.0839547	0.0251062	0.0339075	0.01884282	0.05143281	0.00415046	0.368167	0.00739343	0.00859951	0.600093	0.0115966	26.83291	0.02399275	-3.384119	1	44.83566	0.1695495	0.00301189	0.0793602	0.536376	3.38125	0.200139	0.560292	1.03975	2.19982	0.279045	0.296838	0.152394	0.271723	0.07542556	0.3180984
50	-3911.12	-3758.13	-152.992	13.29791	0.2048488	1.692092	0.0437453	0.0556331	0.0273623	0.231835	0.0455011	0.128891	0.0170752	0.0746679	0.0314794	0.0480673	0.0250401	0.0218711	0.0251742	0.00595523	0.015339	0.0681905	0.0162036	0.0285591	0.0251095	0.0376077	0.0295818	0.0509617	0.021859	0.0118349	0.0172521	0.00596635	0.0202235	0.02378	0.0142875	0.0659727	0.0277049	0.0215949	0.037367	0.0185072	0.0298444	0.020362	0.0597449	0.0493335	0.0649757	0.0418841	0.0729525	0.018856	0.03501785	0.01384582	0.005117979	0.00454733	0.568913	0.00503399	0.0164517	0.401537	0.00351726	28.69254	0.05040632	-3.351897	1	43.84586	0.1695495	0.000625505	0.0366188	0.396194	3.56656	0.25353	0.617693	1.05996	2.06882	0.290107	0.326044	0.120517	0.263333	0.0555243	0.9078245
60	-3892.62	-3751.26	-141.352	8.305473	0.1520069	1.846868	0.0309921	0.0574432	0.0280316	0.115468	0.0465062	0.0817959	0.0224277	0.0687806	0.0364328	0.0317843	0.0269551	0.0191022	0.0349784	0.00765912	0.0118479	0.0927742	0.0161724	0.0210202	0.0196943	0.0233971	0.0230231	0.0268954	0.0193831	0.0168133	0.0178121	0.006126	0.02649	0.0152702	0.0112293	0.0513846	0.0166835	0.0225669	0.0638937	0.0198305	0.0313269	0.0275921	0.0856666	0.0323336	0.0547871	0.0367043	0.0642143	0.0147579	0.0257066	0.02095734	0.03257863	0.0101973	0.446617	0.0072988	0.0124359	0.519881	0.00357006	23.78684	0.05040632	-3.661007	1	43.58332	0.1695495	5.99489e-05	0.0114349	0.247871	3.74063	0.274284	0.637675	1.06564	2.0224	0.305038	0.307548	0.121013	0.266402	0.08298495	0.6074152
70	-3871.67	-3739.74	-131.936	8.305473	0.1510924	1.07837	0.0261033	0.0368647	0.0224135	0.101336	0.0829971	0.0646357	0.022484	0.0591179	0.0326869	0.0433635	0.0437674	0.0130284	0.0426201	0.00928579	0.0141075	0.0685464	0.0216734	0.0212336	0.0174909	0.0324287	0.0211937	0.0149685	0.0165135	0.0114167	0.0193784	0.00802508	0.0305653	0.0164463	0.00991182	0.0397115	0.0115862	0.023492	0.0512427	0.0198944	0.0221913	0.0304964	0.124748	0.0440202	0.0502198	0.0298163	0.0699667	0.0100581	0.02424124	0.01517114	0.06650787	0.00889042	0.392631	0.00629704	0.00673456	0.583449	0.0019977	24.96423	0.05424149	-3.7197	1	43.64973	0.2627533	5.67373e-05	0.0111258	0.245119	3.7437	0.15232	0.499103	1.01186	2.33671	0.298981	0.299414	0.124857	0.276748	0.1207494	0.4492073
80	-3864.7	-3756.28	-108.417	8.305473	0.1673826	0.5646399	0.0362231	0.0408563	0.0317222	0.0603356	0.0385098	0.0698905	0.0306383	0.0161806	0.028533	0.0307834	0.0232271	0.00715771	0.0439378	0.00848376	0.0130204	0.0557683	0.0211236	0.0294404	0.0256869	0.0358791	0.019489	0.0171105	0.0231313	0.00830772	0.0154291	0.0109901	0.0127111	0.0309146	0.00874757	0.0203954	0.0151662	0.0299692	0.0572353	0.0263435	0.0171246	0.0341495	0.0941671	0.0494539	0.0584289	0.032707	0.0554051	0.0111087	0.02659116	0.009183444	0.04386386	0.00972648	0.587191	0.00573977	0.00378218	0.39152	0.00203976	18.69118	0.09678337	-3.627176	1	43.44968	0.3989841	0.000138239	0.017325	0.293423	3.68911	0.045907	0.292036	0.862148	2.79991	0.275421	0.32194	0.129523	0.273116	0.1406472	0.6881285
90	-3839.17	-3744.51	-94.6565	7.360631	0.1579917	0.575627	0.0261617	0.0384632	0.0293678	0.0557259	0.0230627	0.0555593	0.041222	0.0141715	0.0343072	0.0316113	0.0151434	0.00585273	0.0417058	0.0071142	0.00949645	0.0393589	0.0156021	0.0313491	0.0231686	0.0377419	0.016604	0.022881	0.00919933	0.00718154	0.00810268	0.0187389	0.0107379	0.0303538	0.00972645	0.0223646	0.0266049	0.0351499	0.0497218	0.0252465	0.0171326	0.0317222	0.0440181	0.047835	0.0836576	0.0246784	0.0196123	0.0119566	0.02222717	0.009811173	-0.0299409	0.0113938	0.47865	0.00718385	0.00347896	0.498308	0.0009853	21.37154	0.1617991	-3.80644	3	41.0238	0.4216054	8.46114e-05	0.0135733	0.265777	3.72056	0.0481232	0.29845	0.868356	2.78507	0.269999	0.329568	0.142546	0.257887	0.1318582	1.227069
100	-3816.77	-3739.57	-77.2094	7.360631	0.1491932	0.6784303	0.0196721	0.0729508	0.029916	0.0231366	0.0136511	0.0519345	0.0353992	0.0209393	0.0172391	0.0376362	0.0265341	0.00697959	0.0516293	0.00716378	0.0112069	0.0376899	0.012707	0.0255885	0.0210445	0.0305094	0.0209223	0.0310075	0.0114644	0.00964529	0.0120336	0.0124029	0.0161368	0.0207167	0.0091513	0.0253554	0.0432027	0.0172012	0.0612513	0.0175947	0.010301	0.0378207	0.0512038	0.0272586	0.0703066	0.0143242	0.0228773	0.00878201	0.0200646	0.01693697	0.06707248	0.0136274	0.624233	0.00384793	0.00812007	0.349125	0.00104712	19.14037	0.1016432	-3.908798	4	42.36374	0.4042047	5.04972e-05	0.010499	0.239392	3.75006	0.0695882	0.353173	0.916605	2.66063	0.284062	0.309154	0.124585	0.282199	0.1687157	0.6024527
110	-3824.03	-3744.61	-79.4177	7.360631	0.1583361	3.839359	0.0248357	0.0701585	0.042404	0.0122312	0.0198995	0.0493629	0.0292123	0.0196815	0.0134611	0.0397379	0.0190531	0.00854397	0.0347753	0.0052817	0.0160923	0.0582685	0.0154115	0.0369104	0.0207277	0.0415702	0.0189304	0.0528008	0.00960323	0.00452436	0.0144662	0.0198386	0.0237791	0.00938116	0.0161409	0.0224029	0.0301168	0.0153401	0.0345457	0.0109164	0.0274976	0.0305125	0.020404	0.0180534	0.0533907	0.0135454	0.0230388	0.00959131	0.02399313	0.02399141	0.06707248	0.0117048	0.642002	0.00616962	0.00350631	0.336266	0.000351372	19.14037	0.1016432	-3.729988	4	42.1958	0.4624546	8.62377e-05	0.0137025	0.266802	3.71941	0.445314	0.769464	1.08439	1.70083	0.289075	0.31168	0.122476	0.27677	0.1687157	0.6024527
120	-3822.77	-3743.09	-79.6765	7.360631	0.1561631	0.7769704	0.0188902	0.0240428	0.0215672	0.0174837	0.0177115	0.0401709	0.0158593	0.0268486	0.0189049	0.0444906	0.0250102	0.00801208	0.0256431	0.00680144	0.011665	0.0429308	0.0257821	0.0285954	0.015001	0.046049	0.0181983	0.0410862	0.020629	0.00655178	0.00882941	0.0180228	0.0164456	0.0104732	0.0265276	0.0137684	0.0493955	0.0116803	0.0346955	0.0134829	0.0125976	0.0321935	0.0116913	0.0378975	0.105571	0.00835059	0.0489641	0.00914868	0.0223698	0.02053711	0.03411293	0.0169083	0.518324	0.00327933	0.00858987	0.450295	0.00260319	19.51015	0.09629049	-3.800044	3	40.83864	0.4366147	7.63704e-05	0.0128988	0.260327	3.7267	0.0906497	0.397694	0.950364	2.56129	0.296901	0.304248	0.127252	0.271599	0.1304034	0.7384046
130	-3817.86	-3740.97	-76.8929	6.913644	0.1700867	1.281402	0.0322307	0.0217724	0.0149474	0.0262924	0.00570804	0.0472577	0.0106737	0.0147917	0.0148958	0.0412136	0.0302527	0.0124953	0.0150818	0.00546816	0.0117008	0.0297002	0.0228753	0.0279313	0.00853094	0.038297	0.0218399	0.0391475	0.0247502	0.00892898	0.0136257	0.0133525	0.0167143	0.034258	0.0257432	0.0125291	0.0360288	0.0138376	0.0360548	0.0116758	0.00946602	0.0279604	0.0128624	0.0227421	0.0562744	0.00560943	0.0668495	0.0122034	0.02300371	0.02741915	0.02107612	0.0192568	0.551304	0.00108272	0.00288782	0.424144	0.00132499	19.68674	0.1379861	-3.7721	4	40.44867	0.4099468	0.000157632	0.0184926	0.301263	3.68009	0.189496	0.547606	1.03451	2.22839	0.290154	0.325027	0.130742	0.254076	0.1590623	0.8674976
140	-3797.96	-3737.09	-60.8676	6.913644	0.1605906	0.7317139	0.0277093	0.0269433	0.0186381	0.0199715	0.00710529	0.029044	0.0126399	0.0137757	0.0253392	0.0545531	0.0145727	0.00969746	0.0209735	0.00805345	0.00686669	0.0418441	0.0252167	0.0306484	0.00881368	0.0430996	0.0239986	0.0347416	0.0219833	0.00874507	0.00975083	0.0135807	0.025152	0.0504781	0.0237701	0.0131534	0.0280145	0.0200029	0.0314478	0.0161854	0.0236156	0.0235669	0.00940511	0.0331046	0.0442473	0.007977	0.035538	0.015034	0.01700789	0.02715385	0.04241272	0.0139979	0.494636	0.00262031	0.00244926	0.483487	0.00280926	17.97158	0.135605	-4.074078	5	40.41677	0.5377604	9.74843e-05	0.0145637	0.273488	3.71185	0.0809711	0.378117	0.936077	2.60484	0.310508	0.31341	0.13335	0.242732	0.1780177	0.76175
150	-3808.33	-3740.18	-68.1583	6.913644	0.1798332	2.197313	0.0149207	0.0168291	0.0182212	0.0207077	0.0140163	0.0197638	0.011271	0.0101672	0.030345	0.0998618	0.0164376	0.0120439	0.0302752	0.00963475	0.0081936	0.0418789	0.0280314	0.0248516	0.0119784	0.0547355	0.0191287	0.0309899	0.0219933	0.0101369	0.00670745	0.0139209	0.0213308	0.0684857	0.0346344	0.00732564	0.0324782	0.0551324	0.0327096	0.0155154	0.0292489	0.0292407	0.0147927	0.040287	0.0337095	0.0113969	0.034037	0.0312574	0.02273512	0.0222964	0.04241272	0.01895	0.401724	0.000803286	0.00866557	0.5678	0.00205714	17.97158	0.135605	-3.783844	5	40.41677	0.5377604	0.000244841	0.023011	0.32902	3.64772	0.315743	0.674479	1.07422	1.93555	0.27612	0.318114	0.138028	0.267738	0.1780177	0.76175
160	-3799.78	-3741.43	-58.348	6.913644	0.1630439	0.8132238	0.0181835	0.010495	0.0223951	0.0292401	0.0194241	0.0111288	0.0166392	0.0187703	0.0415426	0.0718805	0.0195303	0.0207588	0.0255503	0.00720099	0.0102086	0.0266878	0.0221078	0.023372	0.0139822	0.0444071	0.0192925	0.0151257	0.0442265	0.00733596	0.014043	0.0217061	0.0371943	0.0541551	0.0268919	0.0123923	0.0434275	0.0221653	0.0291602	0.00863643	0.0225952	0.0186562	0.0131954	0.0327022	0.0299971	0.0176055	0.0140408	0.0267232	0.0213698	0.0183928	0.01112506	0.0157737	0.596865	0.000416286	0.0161356	0.364752	0.00605695	18.86638	0.1610877	-3.845777	5	39.50027	0.5377604	0.000110965	0.0155325	0.280726	3.70363	0.0983694	0.412404	0.960553	2.52867	0.300698	0.297052	0.121467	0.280783	0.1722128	0.9353993
170	-3791.58	-3735.98	-55.5973	6.913644	0.1746117	0.5217667	0.0282056	0.0135052	0.0212987	0.0136691	0.0239595	0.00861264	0.0121291	0.015565	0.051599	0.0314833	0.0167683	0.0142057	0.0205754	0.00738863	0.00836226	0.0204244	0.0174506	0.0238756	0.017887	0.0565441	0.0183396	0.0127118	0.0452933	0.00600083	0.00971156	0.011254	0.0242732	0.0362362	0.0244168	0.0141427	0.0459907	0.0313027	0.0412585	0.00572149	0.0232382	0.0103012	0.010352	0.0387262	0.0103783	0.0210407	0.00975499	0.0111632	0.017989	0.01921279	0.01112506	0.0106677	0.503474	0.000325831	0.00967951	0.471074	0.00477846	18.86638	0.1610877	-4.017995	5	39.50027	0.5377604	0.000194578	0.020531	0.314252	3.66502	0.0374896	0.265888	0.835482	2.86114	0.310139	0.302078	0.122935	0.264848	0.1722128	0.9353993
180	-3795.37	-3741.15	-54.2204	6.913644	0.170524	0.8017349	0.0256971	0.0136945	0.0127248	0.0248916	0.0334337	0.0164251	0.00581212	0.0152469	0.0464127	0.036137	0.00944662	0.0190259	0.0239111	0.0158906	0.00792819	0.0231612	0.0231343	0.0372036	0.0167538	0.0448649	0.0328273	0.0147794	0.0282545	0.00682267	0.00846792	0.00937308	0.0254131	0.0335924	0.025281	0.0158992	0.0431917	0.0190449	0.0467669	0.0119139	0.0144518	0.00927378	0.0176635	0.0212308	0.0155054	0.0150438	0.0111724	0.0153231	0.01860269	0.02075681	0.01112506	0.011613	0.520329	0.00165358	0.00684458	0.442612	0.0169485	18.86638	0.1610877	-3.984449	5	39.50027	0.5377604	0.000160951	0.018685	0.302526	3.67863	0.0959279	0.407832	0.957434	2.53881	0.286586	0.311786	0.115605	0.286023	0.1722128	0.9353993
190	-3793.89	-3737.31	-56.58	6.913644	0.1702148	0.907738	0.0146987	0.0102276	0.0090782	0.0309783	0.025893	0.0142549	0.00822893	0.0143075	0.034642	0.0538516	0.0136811	0.0113916	0.0256306	0.0139923	0.00754149	0.0193298	0.0217417	0.0463177	0.0102702	0.0498436	0.0319997	0.0112841	0.0345534	0.00804427	0.00594098	0.00955138	0.0269319	0.0413244	0.0263093	0.0116608	0.0418057	0.01897	0.0403406	0.00674139	0.0122471	0.00831862	0.0108735	0.0256266	0.0154471	0.0206609	0.017559	0.0178577	0.01663211	0.02512774	0.01112506	0.0107127	0.533792	0.00317902	0.00733285	0.439542	0.00544192	18.86638	0.1610877	-4.09642	5	39.50027	0.5377604	0.000158599	0.0185489	0.301633	3.67966	0.118197	0.447149	0.982856	2.4518	0.310437	0.301912	0.128453	0.259199	0.1722128	0.9353993
200	-3793.2	-3739.88	-53.3253	6.913644	0.1853787	0.8762873	0.00849215	0.0118314	0.00593464	0.0258108	0.018381	0.0183104	0.0147075	0.0151449	0.018039	0.0508737	0.017009	0.0136086	0.027068	0.0141122	0.00498754	0.01574	0.0227163	0.0509766	0.012089	0.0551223	0.0376018	0.0123474	0.0236966	0.00910857	0.00778948	0.01038	0.0125754	0.0370585	0.0215319	0.0169909	0.0337912	0.0134693	0.0147384	0.00402813	0.0127663	0.0130404	0.014754	0.0346767	0.0103094	0.0279137	0.0165449	0.013212	0.01792295	0.03472907	0.01112506	0.0151751	0.516787	0.00529998	0.00846341	0.447757	0.00651712	18.86638	0.1610877	-4.021673	5	39.50027	0.5377604	0.000308103	0.0257891	0.344435	3.62947	0.111659	0.436126	0.976042	2.47617	0.287129	0.310869	0.136072	0.26593	0.1722128	0.9353993
210	-3786.33	-3737.61	-48.7204	6.586854	0.163186	0.3547639	0.00662058	0.00965266	0.00742855	0.0170955	0.0185932	0.014831	0.0107007	0.0368246	0.0156428	0.047793	0.0154603	0.0148576	0.0193806	0.00999268	0.00650707	0.0122515	0.0208056	0.0315224	0.0149126	0.0426305	0.0311692	0.0184723	0.0238198	0.0116207	0.00752558	0.00604185	0.0112891	0.0347222	0.017381	0.0143749	0.0371729	0.0211335	0.017381	0.00416177	0.0119637	0.0181462	0.0199579	0.0366101	0.0144493	0.030094	0.0160386	0.00775208	0.01897332	0.01347451	0.05137644	0.0152345	0.578453	0.00361752	0.0130121	0.386802	0.00288037	18.86638	0.1793055	-3.964722	5	39.25242	0.5377604	0.000111788	0.0155896	0.281144	3.70315	0.0107654	0.147255	0.677295	3.16468	0.288533	0.293499	0.138213	0.279755	0.2306819	0.7772845
220	-3788.56	-3742.67	-45.8975	6.586854	0.1850856	1.064661	0.00583312	0.00870013	0.0088031	0.0204802	0.0125522	0.00757459	0.0122899	0.0456004	0.0201322	0.0410892	0.0123687	0.0158525	0.0150645	0.0096259	0.0125979	0.0146771	0.0196485	0.0385236	0.0149744	0.0337458	0.0338107	0.00834168	0.0256149	0.0110631	0.00539404	0.0116869	0.0112151	0.0303985	0.0152697	0.010271	0.0290142	0.0144997	0.0121444	0.00361521	0.0163114	0.0145042	0.028442	0.0306359	0.0224531	0.0210598	0.0158022	0.00870082	0.01643923	0.01849043	0.05137644	0.0177421	0.442196	0.00545105	0.0154243	0.516454	0.00273229	18.86638	0.1793055	-4.108085	5	39.25242	0.5377604	0.000304488	0.0256387	0.343628	3.63043	0.149672	0.49536	1.00994	2.34503	0.304549	0.296184	0.146291	0.252976	0.2306819	0.7772845
230	-3790.28	-3743.03	-47.2542	6.586854	0.1970086	1.244386	0.00583121	0.00993062	0.0110182	0.0167023	0.0117771	0.0130304	0.0144653	0.0423365	0.0164075	0.0344397	0.017601	0.0134825	0.0236343	0.0129766	0.014274	0.0135683	0.0196475	0.0410998	0.0082967	0.0357118	0.0185006	0.0153521	0.0301041	0.0070023	0.0055185	0.0177095	0.00645991	0.0395617	0.0352989	0.0181085	0.0276502	0.0147432	0.0145718	0.00404849	0.01391	0.0252492	0.030946	0.0183633	0.0151955	0.0113972	0.0206865	0.00526496	0.0153652	0.0293696	0.05137644	0.00900647	0.490262	0.00524194	0.0221841	0.469034	0.00427109	18.86638	0.1793055	-4.17565	5	38.98776	0.5377604	0.000478326	0.0320678	0.375806	3.59165	0.183004	0.539629	1.03107	2.24629	0.305122	0.302261	0.133089	0.259527	0.2306819	0.7772845
